GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,2.169854640415884717e-01,1.372505146384603722e+04,1.372505146384603636e+00
1.900000000000000000e+01,6.289479065054122409e-02,1.198723085309916860e+04,1.198723085309916891e+00
3.700000000000000000e+01,1.666128207087915966e-02,1.146581354503808871e+04,1.146581354503808825e+00
7.300000000000000000e+01,4.218990054857875774e-03,1.132549050643665396e+04,1.132549050643665289e+00
1.450000000000000000e+02,1.035454643843228186e-03,1.128958688339086621e+04,1.128958688339086525e+00
2.890000000000000000e+02,2.345444501131090803e-04,1.128055429101268055e+04,1.128055429101268103e+00
5.770000000000000000e+02,3.399386527205266865e-05,1.127829249974287632e+04,1.127829249974287684e+00
1.153000000000000000e+03,1.616411829957151044e-05,1.127772682256251210e+04,1.127772682256251269e+00
2.305000000000000000e+03,2.870488748140944898e-05,1.127758538890738419e+04,1.127758538890738516e+00
4.609000000000000000e+03,3.184015956393859345e-05,1.127755002959377089e+04,1.127755002959377029e+00
