GridPoints,RelativeError,Result
1.000000000000000000e+01,1.000000000000000000e+02,6.607320815948367817e+04
1.900000000000000000e+01,6.950170919612108378e+01,2.166456100257269864e+05
3.700000000000000000e+01,1.733623004911503429e+01,1.846365866152702074e+05
7.300000000000000000e+01,4.581641613990445894e-01,1.837945060578925477e+05
1.450000000000000000e+02,1.855315722709690446e-02,1.838286120693181583e+05
2.890000000000000000e+02,2.405117071544137786e-01,1.842718073389533674e+05
5.770000000000000000e+02,2.061500828828199960e+00,1.881505321180108294e+05
1.153000000000000000e+03,1.369271078170380918e+01,2.180007434159164841e+05
2.305000000000000000e+03,4.630637471864707777e+01,4.060086132638639538e+05
4.609000000000000000e+03,6.156048815271500985e+01,1.056227287372642895e+06
9.217000000000000000e+03,3.416069744235675643e+01,1.604250419341700850e+06
1.843300000000000000e+04,2.463046062675750214e+00,1.644761656564103439e+06
3.686500000000000000e+04,2.418268101741704798e-03,1.644801432272477075e+06
7.372900000000000000e+04,5.162952742697366336e-10,1.644801432280969108e+06
1.474570000000000000e+05,9.201105702172175986e-13,1.644801432280984242e+06
2.949130000000000000e+05,6.511551727690654796e-12,1.644801432281091344e+06
